,text,class
354,"Тем временем, на Канарских островах ( Испания) идет массовая эвакуация населения из-за извержения вулкана Cumbre Vieja на острове Пальма.",Извержение вулкана
355,В Германии и Бельгии случились разрушительные наводнения.,Наводнение
356,"А также огромный крейсер с тысячеми авто сначало затонул, а потом и загорелся, мощнейший ураган громит индийские города, малолетний хам пригрозил педагогу изнасилованием на глазах одноклассников.",Стихийные бедствия
357,"Приземлившись на взлетно-посадочной полосе иркутского аэропорта в 07.42, лайнер не остановился, съехал на поле, пробил бетонное ограждение и врезался в гаражный кооператив, который располагался в 280-ти метрах от ""взлетки"".","Катастрофы, крушения"
358,"Кроме того, снижение деловой активности инвесторов будет оказывать давление на цены активов, ужесточая финансовые условия и потенциально стимулируя отток капитала с развивающихся рынков, считают в МВФ.",Проблемы с активами
359,"По данным оперативной обработки Алтае-Саянского филиала, эпицентр зафиксированного в 05:14 по Киеву в четверг землетрясения находился примерно в 6 км от побережья острова Сулавеси.",Землетрясение
360,В центре Перми прекратил работу магазин Calvin Klein Jeans.,Закрытие предприятия или производства
361,Отказ в судебной защите повлек нарушение конституционного принципа на доступ к правосудию и как следствие исключил какую-либо иную возможность восстановления нарушенного права акционера банка.,Нарушение прав акционеров
362,– Отработан ли в настоящее время алгоритм противодействия финансированию терроризма и экстремизма?,Поддержка террористов
363,"Игорь Черных (по кличке ""Амур"") был задержан 24 ноября 2010 года и рассматривался следствием как один из самых жестоких соисполнителей убийства в станице Кущевская и подозреваемый в совершении убийства Анатолия Смольникова в ноябре 2008 года, а также в расстреле отца и сына Богачевых в сентябре 2003 года.",Уголовное задержание
364,"В начале декабря в Арбитражный суд Москвы был подан иск от Lareli Holdinпs LTD к ОАО ""Евразийский"" с требованием провести собрание акционеров.",Нарушение прав акционеров
365,"В процессе подготовке материалов о социально-экономической ситуации в послевоенном Арцахе мы узнали о том, что в первые месяцы 2021 года в Степанакерте прекратило деятельность отделение ""Америабанка"".",Закрытие предприятия или производства
366,"Представители российского подразделения бренда - ООО ""БМВ РУСЛАНД ТРЕЙДИНГ"", проинформируют владельцев отзываемых автомобилей о необходимости предоставить свое транспортное средство в ближайший дилерский центр для проведения ремонтных работ.",Отзыв продукции
367,"Савеловский суд Москвы в начале июня рассмотрит дело о присвоении биткоинов, переданных в доверительное управление, по иску Петрова и Башилова.",Коррупция
368,Самое сильное извержение вулкана Безымянный на Камчатке произошло 30 марта 1956 года.,Извержение вулкана
369,"Чистый убыток ""Мечела"" по РБСУ вырос почти вдвоеЧистый убыток по РСБУкомпании ""Мечел"" за девять месяцев 2021 года вырос в 1,95 раза, до ₽820,5 млн.",Рост убытков
370,"А компания ""Асоба"" (бывший Белкоопстрах) получила убытки в размере 5,94 млн. рублей против прибыли в 3,14 млн. рублей за аналогичный период прошлого года.",Убытки
371,"Как констатировал 28 июля глава федерального Минприроды Александр Козлов, в целом по России количество лесных пожаров уменьшилось на 4% в сравнении с 2020 годом ( на конец июля в России было зафиксировано около 10,9 тысяч очагов огня).",Пожары
372,"Суд США возложил ответственность за теракт на Судан, где террористы проходили обучение.",Теракт
373,"Днем 12 ноября ""КоронаДоки"" прекратил свою работу.",Финансовые затруднения
374,"Напомним, завершение строительства всех проблемных жилых объектов и восстановление прав граждан, пострадавших от действий недобросовестных застройщиков, находится на особом контроле Губернатора Приморья Олега Кожемяко и Правительства края.",Нарушение обязанностей
375,"Подавляющее число запросов связано с проблемами ЖКХ, некачественной работой УК, ЖСК и ТСЖ.",Жалобы потребителей
376,"Более того, под следствие попал даже и.о. министра Андрей Лазуткин, которого арестовали в 2017 году по подозрению во взяточничестве и превышении должностных полномочий, писал ""Коммерсант"".",Экономические преступления
377,"И требование Генпрокуратуры ликвидировать организацию, занимающуюся построением человечности, является довольно кричащим саморазоблачением, в которое, даже несмотря на весь контекст, который мы все понимаем, не хочется верить.","Закрытие филиала, представительства"
378,"На плохую работу мобильного интернета пожаловались клиенты МТС (75%), ""Мегафона"" (81%), ""Билайна"" (67%) и TELE2 (82%).",Жалобы потребителей
379,"По заявлению истца, мясокомбинат не исполнял обязательства по оплате лизинговых платежей.",Финансовые затруднения
380,"Алиханову пожаловались на магазин ""Санлайт"", который никак не закроется",Жалобы потребителей
381,"""Канониры"" связывают часть убытка в размере 85 миллионов фунтов с пандемией коронавируса.",Убытки
382,Крупнейший военный корабль Ирана загорелся и затонул в Оманском заливе,"Катастрофы, крушения"
383,"Южный окружной военный суд в Ростове-на-Дону признал сегодня Дудиева и Донашева виновными в посягательстве на жизнь сотрудников правоохранительных органов (статья 317 УК РФ) и приговорил Нажмудина Дудиева к 18 годам, а Ибрагима Донашева к 19 годам колонии строгого режима.",Нарушение закона
384,"Леонид Голованов главред журнала ""Авторевю""  ""Подобные отзывные кампании - это совершенно нормальная практика, в данном случае мы видим большие, может быть, даже пугающие цифры, но то, что Tesla отзывает электромобили, чтобы исправить недостатки, которые могут послужить основой для неприятной ситуации, это абсолютно нормально.",Отзыв продукции
385,"При установлении направленности призывов необходимо учитывать положения Федерального закона ""О противодействии экстремистской деятельности"".",Экстремизм
386,"В Перу в воскресенье, 16 января, произошел разлив нефти в океан из танкера из-за мощных волн, вызванных извержением подводного вулкана.",Извержение вулкана
387,Лефортовский суд заочно арестовал гражданина Киргизии за подготовку теракта,Заключение под стражу
388,"Сотрудники ФСБ и МВД задержали двух членов банды террориста Шамиля Басаева – Саламбека и Асламбека Идаловых, причастных убийству 15 российских военных в 1999 году.",Убийство
389,"С 2017 года Baring был вовлечен в корпоративный конфликт со вторым акционером банка, экс-совладельцем ""Юниаструма"" Артемом Аветисяном.",Акционерный конфликт
390,мониторинг извержения вулкана в Камчатском крае.,Извержение вулкана
391,31 мая 2018 г .: Большое жюри Нью-Йорка предъявило Вайнштейну обвинение в изнасиловании и преступном половом акте.,Уголовное обвинение
392,Добытые преступным путем денежные средства обнаружены и изъяты следователем при осмотре места происшествия.,Мошенничество
393,В Усолье-Сибирском суд удовлетворил исковые требования Роспотребнадзора и ликвидировал юридическое лицо за нарушения законодательства о защите прав потребителей.,Жалобы потребителей
394,BMW отзывает почти миллион автомобилей из-за риска возгорания,Отзыв продукции
395,"Трое из погибших военнослужащих при крушении вертолета будут похоронены в Зиря, Амирджане и Бейлагане",Авиакатастрофа
396,Больному раком следователю отменили приговор за взятку,Взятки
397,"Лайнер врезался в склон сопки на высоте 400 метров с убранными шасси, закрылками и предкрылками, с работающими двигателями и большой вертикальной скоростью.","Катастрофы, крушения"
398,Дата принятия судебного акта по корпоративному спору: 28 апреля 2021г.;,Акционерный конфликт
399,"На нем обсуждалось как Забайкалье, Хабаровский край, Приамурье, ЕАО и Якутия справляются с последствиями наводнений и пожаров этого года, а также меры по защите от бедствий.",Наводнение
400,"Впрочем, после заморозки активов российского Центробанка возникает законный вопрос: а зачем нашей стране продавать свои энергоресурсы, если западные страны просто крадут полученные за них деньги.",Проблемы с активами
401,– В последнее время значительно активизировалась деятельность правоохранительных органов по борьбе с коррупцией.,Противодействие коррупции
402,"Басманный райсуд заочно арестовал для международного розыска вора в законе Илью Симонию ( Махо), обвиняемого в организации убийства другого ""законника"" Вячеслава Иванькова ( Япончик).",Заключение под стражу
403,"Так, в 2021 году АО ""Трансмашхолдинг"" и ООО ""Ключевые системы и компоненты"" получили рейтинг ""А2"" в Антикоррупционном рейтинге российского бизнеса, который составлен Российским союзом промышленников и предпринимателей.",Противодействие коррупции
404,Джеффрис был приговорен к 17 годам тюремного заключения.,Привлечение к уголовной ответственности
405,В грузинском селе после землетрясения обрушилась стена дома,Обвал
406,А еще – о громком присвоение 4 миллионов рублей из федеральных денег подрядчиком в Минусинске на благоустройство общественного пространства.,Растрата денежных средств
407,"1934	рудник ""Грумант""	о. Шпицберген	взрыв газа	9",Взрыв газа
408,"И если все искусственные спутники, в силу малой орбиты, в итоге упадут на Землю, то эти 4 спутника находятся слишком далеко от Земли.","Катастрофы, крушения"
409,В феврале нефтяное пятно у побережья Израиля зягрязнило пляжи и оставило отложения смол на побережье Ливана.,Утечка нефти
410,"До этого самое мощное землетрясение было зафиксировано в понедельник – магнитудой 4,5, за последние полтора месяца на острове произошло несколько десятков тысяч подземных толчков, за последнюю неделю – 581.",Землетрясение
411,"Московский городской суд опубликовал апелляционное определение от 11 марта по уголовному делу в отношении адвоката Андрея Маркина, ранее признанного виновным в покушении на мошенничество в крупном размере группой лиц по предварительному сговору (ч. 3 ст. 30, ч. 3 ст. 159 УК РФ).",Привлечение к уголовной ответственности
412,Украинские правоохранители 8 октября огласили Медведчуку новое подозрение в госизмене и содействии терроризму.,Поддержка террористов
413,15 июня обвинение в государственной измене было предъявлено президенту Арктической академии наук в Санкт-Петербурге Валерию Митько.,Уголовное обвинение
414,"Наибольший урон стихия нанесла городу Мэйфилд, где на фабрике по производству свечей обрушилась крыша.",Обвал
415,Во Владивостоке возбуждено уголовное дело в отношении бывшего мэра по факту получения многомиллионной взятки,Взятки
416,"Департамент полиции Хантингтон-Бич подтвердил в заявлении в субботу, что один из его вертолетов ""совершил аварийную посадку в районе Ньюпорт-Бич"" и показал, что спасательные работы ведутся.","Чрезвычайные происшествия, чрезвычайные ситуации"
417,"Нет сомнений, что бороться с незаконным игровым бизнесом можно, и у сотрудников полиции для этого имеются достаточно широкие возможности и полномочия.",Мошенничество
418,"Отмечается, что расследование проводится по факту злоупотребления властью или служебным положением, повлекшем тяжкие последствия, а также присвоению, растрате имущества или завладения им путем злоупотребления служебным положением, совершенным организованной группой в особо крупных размерах (ч.ч. 1, 2 ст. 364, ч. 5 ст. 191 УК Украины).",Растрата денежных средств
419,"Уголовное дело, о котором идет речь, было возбуждено 9 июля 2019 года, одновременно с задержанием действующего на тот момент губернатора Сергея Фургала в рамках другого дела - об убийствах.",Возбуждение уголовного дела
420,"Самый крупный очаг находится в Катангском районе, он локализован на площади 32,5 тыс. га, этот пожар начался 2 июня из-за грозы.",Пожары
421,♦ 1917 - Захват власти в Оренбурге атаманом Дутовым.,"Беспорядки, конфликты и войны"
422,В сентябре трех представителей зодиакального круга ожидают финансовые затруднения.,Финансовые затруднения
423,"А статью 205.1 УК (Содействие террористической деятельности) добавили исключительно для рассмотрения дела в военном гарнизонном суде"", - предположил Магди Камалов.",Поддержка террористов
424,"Данные способы применяются и в случае корпоративных споров, но с некоторыми особенностями.",Акционерный конфликт
425,"В контексте противодействия коррупции корпоративная честность означает ведение бизнеса таким образом, чтобы избегать подкупа и других коррупционных деяний, которые подрывают работу и общественное доверие.",Противодействие коррупции
426,"Во время землетрясения параноидальное и изолированное руководство Народной Республики отозвало все предложения международной помощи, даже от нейтральных организаций, таких как Агентство помощи Организации Объединенных Наций и Международный комитет Красного Креста.",Землетрясение
427,В Индонезии загорелся паром с двумя сотнями человек,Кораблекрушение
428,Они обвиняли Гутаева в помощи чеченским бизнесменам и саботаже работы ведомства.,Нарушение обязанностей
429,"Николай Цапок, дядя Сергея Цапка (приговорен к 20 годам заключения);",Привлечение к уголовной ответственности
430,В процессе деятельности любого хозяйственного общества возможно возникновение корпоративных конфликтов.,Акционерный конфликт
431,"Закрытие всего лишь одного ресторана в данном случае будет означать не ""мелкую неприятность"", как для сети типа McDonald's, а полную потерю актива.",Проблемы с активами
432,"Пришельцы не позволили астероиду столкнуться с Землей, взорвав его на высоте в 30- 40 километров, тем самым предотвратив глобальную катастрофу, которая могла вызвать многочисленные землетрясения, извержения вулканов, сдвиг земной оси,""ядерную зиму"" и в конечном итоге привести к гибели большинства животных и растительных видов, в том числе человека.",Падение метеорита
433,Подземные толчки 6 октября,Землетрясение
434,"Камчатка: крушение вертолета, туристы погибли/ Крым: потоп/Талибы: оружие США /Побег из ИВС: 2 нашли","Чрезвычайные происшествия, чрезвычайные ситуации"
435,"Все равно, ОДКБ не выполнила бы своих обязательств, и на глазах у всего мира, показала бы, что это - бессильный, беззубый, неспособный выполнять свои обязательства по отношению к союзнику орган"", - добавляет А. Бабаджанян.",Нарушение обязанностей
436,"Вечером 25 октября из-за взрыва газа в квартире на четвертом этаже пятиэтажного дома в Набережных Челнах были повреждены перекрытия между четвертым и пятым этажами, разрушено шесть квартир.",Взрыв газа
437,29 июня на третьем этаже дома в Москве после хлопка газа загорелись четыре квартиры.,Пожары
438,Следственный Комитет России в отношении Андрея Алексеенко возбудил уголовное дело по подозрению в получении взятки в виде ружья.,Противодействие коррупции
439,В Махачкале произошел взрыв газа в здании медицинского колледжа,Взрыв газа
440,"Как сообщали СМИ, в этот момент ВМК лишается многих ""монопольных преференций"", прибыль ЗАО ""Военно-мемориальная компания"" падает, а убытки возрастают.",Рост убытков
441,"29 июня присяжные вынесли вердикт по делу об убийстве Немцова, признав всех подсудимых виновными в совершении преступления.",Нарушение закона
442,"Здесь необходимо подчеркнуть, что при, так называемой, бытовой коррупции сумма колеблется от 10 до 150 тысяч рублей и в среднем составляет около 40 тысяч рублей, но в то же время нами выявляются отдельные факты взяточничества должностными лицами в крупном и особо крупном размере, где размер денежного вознаграждения доходит до десятков миллионов рублей.",Взятки
443,Обстоятельства крушения пожарного аэроплана на юго-востоке республики выясняет также посольство России в Турции.,Авиакатастрофа
444,В результате землетрясения в начале ХХ века изменился рельеф республики.,Землетрясение
445,"Четвертого июля бандиты переправляются через р. Юдому и грабят перевозчика Чубрикова, отбирают деньги, ружье, лодку.",Нападение
446,"Из различных документальных источников нам известно, что при взрыве погибли и утонули два парохода Министерства Морского Флота СССР ""Выборг"" и ""Генерал Ватутин"", образовавшейся 10-метровой волной нанесены повреждения трем пароходам, разрушены многие сооружения в порту, начались массовые очаги пожаров.",Кораблекрушение
447,• Производство и распространение экстремистских материалов.,Экстремизм
448,"Уголовным кодексом предусмотрено наказание и для того, кто эту взятку дает.",Взятки
449,Технологическая катастрофа: Припять ( Украина),Техногенные катастрофы
450,"Сложная ночь в Харькове и области: российские войска продолжают обстреливать жилые кварталы и объекты инфраструктуры, есть жертвыКак сообщает полиция региона, Россия усилила интенсивность обстрелов Харькова и других населенных пунктов в области""Харьковщина пережила сложную ночь.","Беспорядки, конфликты и войны"
451,"Во всех случаях ""Новая газета"" стремится очернить Россию и российские власти, и оказывает непосредственную информационную поддержку террористам.",Поддержка террористов
452,"Спецслужбы США заподозрили, что деньги, добытые из российского бюджета преступным путем, отмывались компанией Prevezon через покупку нью-йоркской недвижимости.",Мошенничество
453,"В 2018 году они похитили из свыше 1,5 миллиона рублей бюджетных средств, подписывая фиктивные акты выполненных работ по благоустройству территории района.",Растрата денежных средств
454,"Против ВТБ введены санкции, которые предполагают блокировку всех активов банка в этих странах, а также запрет на операции с участием ВТБ в валютах и с контрагентами из этих стран.",Проблемы с активами
455,Извержение вулкана на острове Ла-Пальма довольно сильное.,Извержение вулкана
456,"Таким образом ядерный взрыв, чтобы предотвратить столкновение астероида с Землей, будет нарушением договора.",Падение метеорита
457,"""Следственными органами Следственного комитета России по ХМАО-Югре совместно с сотрудниками УМВД России по ХМАО-Югре и ФСБ России задержан Юрий Чекин, 1963 года рождения, обвиняемый в организации убийства прокурора Ханты-Мансийского автономного округа – Югры Юрия Бедерина"", – сказали в пресс-службе.",Уголовное задержание
458,Сергея Кудрявцева задержали 23 декабря 2020 года по подозрению в мошенничестве в особо крупном размере (ч. 4 ст. 159 УК РФ).,Экономические преступления
459,"Разгорелся корпоративный конфликт между двумя мажоритарными акционерами (доли обоих в компании превышали 45%), партнерами и приятелями - гендиректором ""Кулона"" Гасаном Оруджовым и предпринимателем Акифом Гасымовым, экс-председателем городского отделения ""Всероссийского азербайджанского конгресса"".",Акционерный конфликт
460,"Например, если из-за политики государства в стране голод - допустим, конфискуется зерно - то вы за счет коррупции можете что-то оставить себе и из-за этого не умираете с голода.",Коррупция
461,"""Итальянская антимонопольная служба наложила штраф в размере более 100 миллионов евро (102 084 433,91) на компании Alphabet Inc., Google LLC и Google Italy S. r.l. за нарушение 102 статьи Договора о функционировании Европейского союза"", – говорится в заявлении антимонопольной службы.",Нарушение обязанностей
462,Взрывы бытового газа в жилых домах в России в 2021 году,Взрыв газа
463,"Российская сеть продуктов здорового питания ""ВкусВилл"" объявила, что закроет свои магазины в Амстердаме ( Нидерланды).","Закрытие филиала, представительства"
464,"В 2011 году в связи с публикациями от 2008 года Дильмухаметова осудили по обвинению в публичных призывах к экстремистской (ст. 280 УК) и террористической деятельности (ст. 205.2 УК), а также в возбуждении национальной розни (ч. 1 ст. 282 УК).",Экстремизм
465,"Так, вариант на русском запрещал подземные ядерные взрывы, ведущие к появлению ""радиоактивных выпадений"", в то время как в английском тексте запрещались подземные ядерные взрывы, ведущие к появлению ""осколков"".",Ядерный взрыв
466,"2 февраля краболовное судно ""Акванавт"" затонуло у причала порта Зарубино в Приморье, часть судна – над водой.",Кораблекрушение
